Date,Albania-Pers,Albania-Mort,Bulgaria-Corp,Bulgaria-Mort,Bulgaria-Pers,Croatia-Mort,Croatia-Pers,Croatia-Corp,Hungary-Pers,Hungary-Corp,Montenegro-Corp,Montenegro-Pers,Romania-Mort,Romania-Corp,Serbia-Corp,Russia-Corp
2013.384615384615,0.05870617387154158,0.02470504577735684,0.06812105256454183,0.0514422612794206,0.01999472792545377,0.0353282713643992,0.04808649797856657,0.04167571876257463,0.07211163342313855,0.04496775081577507,0.06882431918760339,0.04461865504044113,0.06855644205962767,0.1200379613181274,0.07074237772063906,0.02358298692545429
2013.403846153846,0.05887331121750093,0.02465554257265928,0.06736307658000926,0.05032892659963199,0.02014206953157373,0.03539710419610379,0.04862751211241606,0.04143263144348781,0.0721358680647908,0.04548794878534956,0.06780408442757327,0.04453894953582811,0.06913893154248006,0.1207693430485505,0.06869516681476286,0.02335946639002346
2013.423076923077,0.05895247555641726,0.02496782214690603,0.06622954880865412,0.05111130836629849,0.0197836707863847,0.03542139579155528,0.04877367172243193,0.04112392530431638,0.07219876857296739,0.0458664386129668,0.06657041371750222,0.04387659114618733,0.0681956992276896,0.1208360499888504,0.06784616746280599,0.02343611991378148
2013.442307692308,0.05951461105516195,0.02484627537664419,0.06481498627317585,0.05013205939367547,0.01917276163833167,0.03531188957732659,0.04879277446902072,0.04087096696787638,0.07226221613440181,0.04595642858901401,0.06521462916570889,0.04030058464186856,0.06823784564905025,0.1213827417717514,0.06907592115921798,0.02353909266402731
2013.461538461539,0.05948813818235764,0.02533503078584737,0.06190453009810466,0.04968387892716417,0.01826260528396042,0.03534226875175794,0.04945146405919842,0.04062666063947293,0.07231149577469262,0.04579240156031458,0.06329924797953229,0.03997831039548225,0.06616828094671372,0.1216620272821834,0.0680854826519065,0.02376616554309308
2013.480769230769,0.05896774623318431,0.02528225884396794,0.06087853007392966,0.049114313290677,0.01855226471897763,0.03530969490869833,0.04946450903887832,0.04066012113878926,0.07230616162233224,0.04628657023930434,0.06333935908442656,0.03980435617898514,0.06403317034426714,0.1219710655561152,0.0651983364609448,0.02385678529583236
2013.5,0.05841200000000001,0.02650399999999999,0.063732,0.05018400000000001,0.020648,0.035517,0.051009,0.04073599999999999,0.072291,0.046096,0.063354,0.046004,0.061708,0.122205,0.07160100000000001,0.023968
2013.519230769231,0.05840573530205058,0.02695138837174491,0.06401070101092639,0.05010640992312109,0.02066024335657836,0.03588941294685803,0.05085153739517687,0.04105504149636263,0.07253231721697657,0.04603427463973946,0.06327143263149428,0.04580804608216536,0.06168800584213392,0.1222098145730085,0.07035878313246803,0.0239095077090106
2013.538461538461,0.05844855245297689,0.02692766720705029,0.0627573035601843,0.04985770730462699,0.02066500527101082,0.03638375152156269,0.05058962804504074,0.04167854751310839,0.07259261101807207,0.04570279344008406,0.06316579444834992,0.04586981310424903,0.0617482693781296,0.1221825153585418,0.07123236764424576,0.02398248956427564
2013.557692307692,0.05846119941083347,0.02730497967666115,0.06191045934485307,0.0498024002831456,0.02067405144611437,0.03723584582330908,0.05050309914697444,0.04165874818667651,0.07264419570591525,0.04552748375233905,0.06309587146103293,0.04484064393699314,0.06199547733060322,0.1217958343993697,0.07021562948942127,0.02321958664354848
